date,nominal_rate,expected_inflation,real_rate_approx,real_rate_exact,formula_difference,negative_real_rate
2000-01-01,5.32,3.080288,2.2397120000000004,2.1727839953260553,0.06692800467394511,False
2000-02-01,5.55,3.1570678,2.3929321999999997,2.3196977686874565,0.07323443131254326,False
2000-03-01,5.69,3.2388566,2.4511434000000003,2.374245008831277,0.0768983911687231,False
2000-04-01,5.66,3.1606735,2.4993265,2.4227512434765064,0.07657525652349362,False
2000-05-01,5.79,3.3126257,2.4773743,2.3979395385747226,0.0794347614252775,False
2000-06-01,5.69,3.7602013,1.9297987000000005,1.8598640671680933,0.06993463283190726,False
2000-07-01,5.96,3.0862813,2.8737187,2.787682962039306,0.08603573796069375,False
2000-08-01,6.09,3.1234906,2.9665094,2.8766572802569668,0.08985211974303331,False
2000-09-01,6.0,3.1741185,2.8258815,2.738944166506263,0.08693733349373689,False
2000-10-01,6.11,3.1062109,3.0037891,2.913295982638031,0.09049311736196897,False
2000-11-01,6.17,3.0989798,3.0710202,2.9787105614017095,0.09230963859829044,False
2000-12-01,5.77,3.1672986,2.6027013999999995,2.5227968894399266,0.07990451056007286,False
2001-01-01,5.15,2.6536536,2.4963464,2.431814467829141,0.06453193217085929,False
2001-02-01,4.88,2.632136,2.247864,2.1902145737276557,0.05764942627234415,False
2001-03-01,4.42,2.1422446,2.2777553999999998,2.2299836947189844,0.047771705281015375,False
2001-04-01,3.87,2.5592129,1.3107871000000002,1.2780783538949958,0.032708746105004405,False
2001-05-01,3.62,2.7238774,0.8961226,0.8723605676512314,0.023762032348768614,False
2001-06-01,3.49,2.7511842,0.7388158000000002,0.7190338542103047,0.0197819457896955,False
2001-07-01,3.51,2.6878453,0.8221546999999996,0.8006348731907753,0.021519826809224263,False
2001-08-01,3.36,2.5859519,0.7740480999999999,0.7545361578888965,0.01951194211110341,False
2001-09-01,2.64,3.1152263,-0.47522629999999966,-0.4608691820327304,-0.01435711796726924,True
2001-10-01,2.16,2.2912795,-0.13127949999999977,-0.12833889715887503,-0.00294060284112474,True
2001-11-01,1.87,2.0813513,-0.21135130000000002,-0.2070420280574803,-0.004309271942519732,True
2001-12-01,1.69,2.7313753,-1.0413753,-1.0136876849540344,-0.027687615045965508,True
2002-01-01,1.65,2.2902539,-0.6402539000000003,-0.6259187709377612,-0.014335129062239105,True
2002-02-01,1.72,2.1457897,-0.42578969999999994,-0.4168450811829927,-0.008944618817007255,True
2002-03-01,1.79,2.013877,-0.22387699999999988,-0.21945739793811647,-0.00441960206188341,True
2002-04-01,1.71,2.5878316,-0.8778315999999999,-0.8556878396872247,-0.022143760312775207,True
